body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.47102538, 1, 0.219022536, 0.139844919, 0.170263551
1.94565668, 1, 0.0116305407, 0.195422211, 0.111189517
19.1719244, 1, 0.218677096, 0.174439658, 0.192326993
56.6068423, 1, 0.0711036292, 0.177757063, 0.198888627
70.0837754, 1, 0.258322232, 0.192832003, 0.167741077
456.254793, 1, 0.3499711, 0.194028737, 0.179516478
100.245094, 0, 0.252413831, 0, 0
105.818954, 0, 0.25309768, 0, 0
327.868648, 0, 0.267821221, 0, 0
570.74936, 0, 0.275348213, 0, 0
1549.93342, 0, 0.289451393, 0, 0
2325.08557, 0, 0.29538058, 0, 0
3537.80534, 0, 0.301645387, 0, 0
4238.12746, 0, 0.304381808, 0, 0
5865.35004, 0, 0.3093675, 0, 0
56607.4091, 0, 0.346500332, 0, 0
64232.0161, 0, 0.348696485, 0, 0
118024.168, 0, 0.359466596, 0, 0
122511.115, 0, 0.360137849, 0, 0
299624.379, 0, 0.376607399, 0, 0
333594.648, 0, 0.378635164, 0, 0
549806.763, 0, 0.388213376, 0, 0
606846.449, 0, 0.390134118, 0, 0
678154.528, 0, 0.392307332, 0, 0
