body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.57424856, 1, 0.209659788, 0.103160999, 0.100083712
1.84933351, 1, 0.1666966, 0.159859215, 0.131890933
3.5254868, 1, 0.346700782, 0.177609494, 0.144125799
3.53901617, 1, 0.383972119, 0.122372453, 0.104820356
6.66569377, 1, 0.16785296, 0.162627289, 0.152573669
12.661251, 1, 0.266265967, 0.141232011, 0.184627831
19.9404808, 1, 0.0879536286, 0.162107257, 0.163415474
32.7317772, 1, 0.262285428, 0.123957974, 0.157315886
40.7359152, 1, 0.395834588, 0.130725726, 0.162762348
98.4675228, 1, 0.279357607, 0.125829267, 0.157719861
143.736588, 1, 0.0401476403, 0.109376532, 0.147642166
111.416387, 0, 0.253750814, 0, 0
114.56735, 0, 0.254104897, 0, 0
156.42435, 0, 0.258092396, 0, 0
266.644707, 0, 0.265067596, 0, 0
343.304266, 0, 0.268437973, 0, 0
354.447158, 0, 0.26886704, 0, 0
532.53295, 0, 0.274395709, 0, 0
558.24138, 0, 0.275043314, 0, 0
684.864201, 0, 0.277869075, 0, 0
716.389215, 0, 0.278495026, 0, 0
810.200622, 0, 0.280213865, 0, 0
1012.05799, 0, 0.283348072, 0, 0
1037.03755, 0, 0.283693716, 0, 0
1136.07896, 0, 0.284990522, 0, 0
1241.727, 0, 0.286260416, 0, 0
1360.69686, 0, 0.287572968, 0, 0
1559.47847, 0, 0.28954026, 0, 0
1832.96404, 0, 0.291888973, 0, 0
2240.19358, 0, 0.294831763, 0, 0
2783.57886, 0, 0.298050715, 0, 0
2999.95239, 0, 0.299168394, 0, 0
3111.70903, 0, 0.299716009, 0, 0
3870.68196, 0, 0.303004701, 0, 0
4189.97099, 0, 0.304207938, 0, 0
4428.56873, 0, 0.305051497, 0, 0
6494.04605, 0, 0.310946562, 0, 0
12373.8349, 0, 0.3211332, 0, 0
13454.2122, 0, 0.322480089, 0, 0
21071.861, 0, 0.329795812, 0, 0
34328.9641, 0, 0.337942666, 0, 0
39314.7504, 0, 0.340241878, 0, 0
41228.2448, 0, 0.341051319, 0, 0
47522.0066, 0, 0.343482591, 0, 0
57091.2088, 0, 0.346647804, 0, 0
59534.1773, 0, 0.3473748, 0, 0
86850.9166, 0, 0.353996291, 0, 0
91745.1583, 0, 0.354967955, 0, 0
96970.2741, 0, 0.355952398, 0, 0
205940.068, 0, 0.369612827, 0, 0
219186.216, 0, 0.370766642, 0, 0
342549.216, 0, 0.379136975, 0, 0
504878.573, 0, 0.386562159, 0, 0
674970.767, 0, 0.392215037, 0, 0
874457.174, 0, 0.397325939, 0, 0
