patch, X.Koord, Y.Koord, Area
0, 0.0132950635, 0.176090273, 8500000
1, 0.421260425, 0.655280312, 1400000
2, 0.158173173, 0.794117883, 5700000
3, 0.748012366, 0.161810434, 500000
4, 0.19657678, 0.0629737285, 4800000
5, 0.241493806, 0.0799421432, 4000000
6, 0.0823568149, 0.140619071, 6900000
7, 0.318976259, 0.0557304419, 2600000
8, 0.188697991, 0.50012589, 5700000
9, 0.159938856, 0.181509405, 5700000
10, 0.335824485, 0.33325377, 1800000
11, 0.271627307, 0.206482639, 3200000
12, 0.0392288207, 0.0699129642, 7300000
13, 0.196765514, 0.0837352281, 4700000
14, 0.335431348, 0.215862386, 2000000
15, 0.657711158, 0.222883821, 600000
16, 0.310338353, 0.424653481, 2800000
17, 0.284653449, 0.364915798, 3100000
18, 0.0177803391, 0.184355211, 7300000
19, 0.487779091, 0.487151144, 800000
20, 0.26187143, 0.123368894, 3600000
21, 0.324793164, 0.200355601, 2300000
22, 0.116249536, 0.406848426, 6600000
23, 0.119103167, 0.422487185, 6000000
24, 0.24336505, 0.610414252, 3700000
25, 0.189978387, 0.406506763, 5600000
26, 0.322619323, 0.0152860581, 2300000
27, 0.0167970282, 0.00207554536, 8300000
28, 0.0591038206, 0.124286936, 7100000
29, 0.407324667, 0.0426355032, 1600000
30, 0.270203478, 0.867303001, 3300000
31, 0.377445039, 0.548872697, 1600000
32, 0.00265636465, 0.416143422, 9200000
33, 0.00012142272, 0.297588799, 9500000
34, 0.442472843, 0.0362367399, 1400000
35, 0.0802952211, 0.65959168, 7000000
36, 0.0557983838, 0.382239477, 7200000
37, 0.503636528, 0.32311402, 800000
38, 0.288351865, 0.444508646, 3000000
39, 0.192660286, 0.274483979, 5300000
40, 0.257333105, 0.0148422109, 3700000
41, 0.0813834536, 0.553168302, 6900000
42, 0.446274614, 0.0446636876, 1300000
43, 0.470306598, 0.0998338929, 900000
44, 0.344402925, 0.271243865, 1700000
45, 0.00656953991, 0.120564376, 8700000
46, 0.274791993, 0.40231582, 3100000
47, 0.213744095, 0.00378265974, 4500000
48, 0.333428222, 0.35852285, 2200000
49, 0.0681939888, 0.175665824, 7100000
