body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
6.69066003, 1, 0.115986864, 0.195483086, 0.128942033
13.8522895, 1, 0.377213282, 0.177569677, 0.188673216
33.2428629, 1, 0.0360399002, 0.159055587, 0.165468412
40.5750691, 1, 0.386605653, 0.116887804, 0.11979325
96.7384179, 1, 0.394253822, 0.118339044, 0.134531241
195.423516, 1, 0.0644502383, 0.10317532, 0.157044037
251.117489, 1, 0.309268337, 0.122962335, 0.14189106
653.424468, 1, 0.0920580906, 0.152991137, 0.199458047
828.838436, 1, 0.219514194, 0.169191556, 0.183246903
176.876767, 0, 0.259683007, 0, 0
239.525051, 0, 0.263649856, 0, 0
281.86988, 0, 0.265804559, 0, 0
388.31317, 0, 0.270096588, 0, 0
1533.03419, 0, 0.289292772, 0, 0
1723.79311, 0, 0.290994143, 0, 0
1952.83539, 0, 0.292814968, 0, 0
2992.57447, 0, 0.299131563, 0, 0
13926.8792, 0, 0.323037308, 0, 0
14830.9246, 0, 0.324054758, 0, 0
21287.3389, 0, 0.32996362, 0, 0
27740.0443, 0, 0.334360795, 0, 0
50732.9674, 0, 0.344607325, 0, 0
63154.0916, 0, 0.34840154, 0, 0
120939.476, 0, 0.359905427, 0, 0
169437.207, 0, 0.366024731, 0, 0
233795.194, 0, 0.371964737, 0, 0
538994.207, 0, 0.387828032, 0, 0
