body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
2.12980553, 1, 0.0318664415, 0.153834876, 0.172831494
2.65867828, 1, 0.265616262, 0.129899866, 0.135051538
4.83116764, 1, 0.0227324795, 0.153774522, 0.159325766
6.62235421, 1, 0.293216112, 0.166562753, 0.182108602
10.9291129, 1, 0.0313323619, 0.13643288, 0.185722167
12.9123484, 1, 0.235563513, 0.162301862, 0.158878158
24.8473158, 1, 0.278271125, 0.164272488, 0.182667299
27.0998063, 1, 0.0655991781, 0.141998182, 0.169477421
33.8178439, 1, 0.0116635839, 0.140324243, 0.132603392
684.09316, 1, 0.193411644, 0.139042033, 0.11336968
774.462499, 1, 0.199796967, 0.140618952, 0.184366276
125.838097, 0, 0.255299873, 0, 0
134.890737, 0, 0.256188185, 0, 0
143.776948, 0, 0.257006705, 0, 0
153.753697, 0, 0.257870267, 0, 0
164.988197, 0, 0.258781148, 0, 0
223.668603, 0, 0.262748498, 0, 0
277.936311, 0, 0.265617849, 0, 0
279.875658, 0, 0.265710213, 0, 0
292.682215, 0, 0.266305299, 0, 0
466.629413, 0, 0.27258917, 0, 0
632.30011, 0, 0.276761805, 0, 0
695.348197, 0, 0.278080226, 0, 0
705.399948, 0, 0.278279851, 0, 0
999.070256, 0, 0.283165144, 0, 0
1087.97167, 0, 0.284374644, 0, 0
1139.16702, 0, 0.285029205, 0, 0
1263.58276, 0, 0.286510258, 0, 0
1651.57169, 0, 0.290372085, 0, 0
1673.69243, 0, 0.290565317, 0, 0
2793.53287, 0, 0.298103916, 0, 0
2848.76543, 0, 0.298395882, 0, 0
3098.47437, 0, 0.299652142, 0, 0
4892.85938, 0, 0.306575982, 0, 0
7832.45213, 0, 0.313873665, 0, 0
10187.5299, 0, 0.318026593, 0, 0
13182.5953, 0, 0.322151411, 0, 0
15978.318, 0, 0.325264409, 0, 0
23196.3679, 0, 0.331383584, 0, 0
66629.505, 0, 0.349335982, 0, 0
74318.1243, 0, 0.351248702, 0, 0
75805.4455, 0, 0.351596879, 0, 0
110164.359, 0, 0.358230077, 0, 0
125482.479, 0, 0.360569631, 0, 0
169167.888, 0, 0.36599562, 0, 0
188125.258, 0, 0.367944526, 0, 0
194622.213, 0, 0.368569685, 0, 0
196661.864, 0, 0.368761862, 0, 0
215862.089, 0, 0.370483448, 0, 0
290308.75, 0, 0.376013119, 0, 0
308828.79, 0, 0.377177589, 0, 0
468295.085, 0, 0.385111042, 0, 0
508828.339, 0, 0.386712808, 0, 0
866521.273, 0, 0.397144866, 0, 0
986673.822, 0, 0.399731775, 0, 0
