body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.2800061, 1, 0.3675963, 0.171572541, 0.165370437
3.54840055, 1, 0.300254187, 0.141212298, 0.15366294
7.59553781, 1, 0.246325695, 0.164861921, 0.19957389
28.6073121, 1, 0.25654647, 0.149030943, 0.114198246
50.6435951, 1, 0.310518972, 0.171800849, 0.197534164
98.0396718, 1, 0.369319782, 0.148472727, 0.161955747
372.686342, 1, 0.28805588, 0.152605353, 0.172048621
549.089307, 1, 0.355492096, 0.185349777, 0.129506357
771.287941, 1, 0.322384928, 0.116559509, 0.160013196
107.084587, 0, 0.253248184, 0, 0
249.666845, 0, 0.264197093, 0, 0
271.641644, 0, 0.265313781, 0, 0
523.577518, 0, 0.274163124, 0, 0
564.528099, 0, 0.275197364, 0, 0
602.293219, 0, 0.276089818, 0, 0
709.235385, 0, 0.27835531, 0, 0
802.507899, 0, 0.280080232, 0, 0
1196.79832, 0, 0.28573342, 0, 0
1198.86907, 0, 0.285758119, 0, 0
1352.26693, 0, 0.287483625, 0, 0
1512.39756, 0, 0.289096803, 0, 0
3538.86496, 0, 0.301649904, 0, 0
4957.67331, 0, 0.30677777, 0, 0
9655.362, 0, 0.317174614, 0, 0
14298.9799, 0, 0.323463472, 0, 0
17272.6567, 0, 0.326533654, 0, 0
28312.0461, 0, 0.33470219, 0, 0
34467.1514, 0, 0.338010554, 0, 0
90466.3336, 0, 0.35471891, 0, 0
100725.38, 0, 0.356629231, 0, 0
110601.11, 0, 0.358300955, 0, 0
118356.096, 0, 0.359517076, 0, 0
143510.263, 0, 0.362997922, 0, 0
181712.872, 0, 0.36730706, 0, 0
303562.605, 0, 0.376853371, 0, 0
347874.481, 0, 0.379429523, 0, 0
