patch, X.Koord, Y.Koord, Area
0, 0.572846988, 0.52359343, 900000
1, 0.473508031, 0.647593181, 1200000
2, 0.363206677, 0.60947488, 1900000
3, 0.479225983, 0.61490817, 1200000
4, 0.532835311, 0.464648021, 1000000
5, 0.69940192, 0.637420671, 200000
6, 0.434345058, 0.423191693, 1600000
7, 0.296771515, 0.570920604, 2700000
8, 0.543651752, 0.560722393, 900000
9, 0.600548843, 0.647199579, 600000
10, 0.150150657, 0.146796067, 6200000
11, 0.32763301, 0.0316703627, 2300000
12, 0.233733377, 0.161729284, 4900000
13, 0.322897913, 0.160601298, 2500000
14, 0.282337669, 0.143940126, 2900000
15, 0.259590699, 0.127547164, 4000000
16, 0.304779448, 0.168866124, 2600000
17, 0.334218505, 0.191757891, 2100000
18, 0.281078983, 0.0830684333, 3000000
19, 0.163479146, 0.148851238, 6000000
20, 0.0688524329, 0.52811803, 8300000
21, 0.0378394209, 0.140640946, 8800000
22, 0.180726983, 0.350827949, 5300000
23, 0.095707364, 0.429412278, 7700000
24, 0.029680589, 0.397037822, 9200000
25, 0.035902711, 0.35750591, 8800000
26, 0.0399259104, 0.425218558, 8400000
27, 0.0982774543, 0.55937903, 7700000
28, 0.0701578721, 0.428557159, 8200000
29, 0.0267727021, 0.424483464, 9800000
30, 0.104850469, 0.412366473, 7400000
31, 0.254659585, 0.247430345, 4500000
32, 0.278141158, 0.309871092, 3000000
33, 0.0102642889, 0.290115046, 10000000
34, 0.260051699, 0.352709363, 3700000
35, 0.0436315549, 0.275595907, 8400000
36, 0.0806621864, 0.289843244, 8100000
37, 0.131017147, 0.236016251, 6500000
38, 0.148535577, 0.199945198, 6300000
39, 0.164670819, 0.375825097, 5800000
40, 0.189917574, 0.582811345, 5200000
41, 0.255038917, 0.618443892, 4200000
42, 0.286830125, 0.617455721, 2800000
43, 0.127153242, 0.682501534, 7400000
44, 0.270444715, 0.775556321, 3300000
45, 0.243166485, 0.482656007, 4900000
46, 0.358790087, 0.604589101, 2100000
47, 0.270004661, 0.658162805, 3600000
48, 0.0394930704, 0.561649891, 8800000
49, 0.213659548, 0.565473733, 5000000
