body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.22921723, 1, 0.221108779, 0.114537015, 0.145683322
1.32401289, 1, 0.113410034, 0.14531723, 0.164914405
1.42692657, 1, 0.122544251, 0.121557701, 0.127848728
1.90833443, 1, 0.277255168, 0.135390507, 0.16762549
2.3809811, 1, 0.234647989, 0.149263592, 0.159086281
4.18531968, 1, 0.176181489, 0.191330145, 0.102398188
5.54197938, 1, 0.109968043, 0.176582637, 0.155885409
21.0101675, 1, 0.0627470963, 0.197364827, 0.125925245
121.470543, 1, 0.181843106, 0.140236064, 0.14151012
118.848045, 0, 0.25457139, 0, 0
305.713289, 0, 0.266885947, 0, 0
1457.53494, 0, 0.288563196, 0, 0
5600.77028, 0, 0.308654334, 0, 0
11048.6802, 0, 0.319319552, 0, 0
18934.1277, 0, 0.328036566, 0, 0
228979.271, 0, 0.371577835, 0, 0
373067.856, 0, 0.380758303, 0, 0
384744.451, 0, 0.381345486, 0, 0
