body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.84596495, 1, 0.0236448034, 0.170706421, 0.112087875
4.41760041, 1, 0.300977967, 0.13950353, 0.191768701
8.4031945, 1, 0.0798065026, 0.119461541, 0.156644633
12.1507983, 1, 0.217307617, 0.127463158, 0.147201932
21.9017478, 1, 0.304456256, 0.113099612, 0.131456643
24.7054217, 1, 0.306876169, 0.182123194, 0.104321574
205.101742, 0, 0.261612481, 0, 0
430.337011, 0, 0.271487868, 0, 0
483.158307, 0, 0.27306401, 0, 0
1002.59427, 0, 0.283215001, 0, 0
1492.61922, 0, 0.288906586, 0, 0
2559.85648, 0, 0.296804699, 0, 0
18019.342, 0, 0.327225348, 0, 0
23840.5302, 0, 0.331837748, 0, 0
61156.5338, 0, 0.347842092, 0, 0
69817.5114, 0, 0.350153289, 0, 0
77725.2355, 0, 0.352036824, 0, 0
80865.7513, 0, 0.35273473, 0, 0
