body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.05267722, 1, 0.196123772, 0.166380062, 0.196240551
6.4428618, 1, 0.0567929837, 0.118334421, 0.191321433
7.05174859, 1, 0.287203398, 0.103573735, 0.156817484
7.59553781, 1, 0.390136655, 0.185711449, 0.148549235
18.6835083, 1, 0.193890909, 0.171572541, 0.165370437
191.787198, 1, 0.24782299, 0.141212298, 0.15366294
452.96738, 1, 0.210421413, 0.164861921, 0.19957389
249.666845, 0, 0.264197093, 0, 0
271.641644, 0, 0.265313781, 0, 0
523.577518, 0, 0.274163124, 0, 0
564.528099, 0, 0.275197364, 0, 0
602.293219, 0, 0.276089818, 0, 0
709.235385, 0, 0.27835531, 0, 0
802.507899, 0, 0.280080232, 0, 0
1196.79832, 0, 0.28573342, 0, 0
1512.39756, 0, 0.289096803, 0, 0
3538.86496, 0, 0.301649904, 0, 0
9655.362, 0, 0.317174614, 0, 0
14298.9799, 0, 0.323463472, 0, 0
17272.6567, 0, 0.326533654, 0, 0
28312.0461, 0, 0.33470219, 0, 0
34467.1514, 0, 0.338010554, 0, 0
90466.3336, 0, 0.35471891, 0, 0
100725.38, 0, 0.356629231, 0, 0
118356.096, 0, 0.359517076, 0, 0
143510.263, 0, 0.362997922, 0, 0
181712.872, 0, 0.36730706, 0, 0
303562.605, 0, 0.376853371, 0, 0
